dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
colorectal_hist,equivariant,normbn_relu,Normbn,False,0,0.893333,39.15,372224,0.2186378836631775
colorectal_hist,equivariant,normbn_relu,Normbn,False,1,0.861333,36.0,372224,0.20457124710083
colorectal_hist,equivariant,normbn_relu,Normbn,False,2,0.864,38.98,372224,0.1998390555381775
colorectal_hist,equivariant,normbn_relu,Normbn,False,3,0.88,36.12,372224,0.195834070444107
colorectal_hist,equivariant,normbn_relu,Normbn,False,4,0.882667,38.82,372224,0.179474651813507
colorectal_hist,equivariant,normbn_relu,Normbn,True,0,0.909333,36.47,372224,0.1633007079362869
colorectal_hist,equivariant,normbn_relu,Normbn,True,1,0.92,40.6,372224,0.1742028146982193
colorectal_hist,equivariant,normbn_relu,Normbn,True,2,0.925333,36.68,372224,0.1711803674697876
colorectal_hist,equivariant,normbn_relu,Normbn,True,3,0.914667,38.78,372224,0.1603570729494094
colorectal_hist,equivariant,normbn_relu,Normbn,True,4,0.912,36.17,372224,0.1700766086578369
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,0,0.914667,39.15,372224,0.1784951239824295
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,1,0.904,36.38,372224,0.1848294138908386
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,2,0.877333,36.53,372224,0.1787280440330505
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,3,0.893333,39.13,372224,0.1878101527690887
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,4,0.874667,37.95,372224,0.1736506670713424
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,0,0.92,36.58,372224,0.1575327664613723
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,1,0.928,38.98,372224,0.1540613770484924
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,2,0.925333,36.33,372224,0.1535760015249252
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,3,0.904,39.07,372224,0.1540995240211486
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,4,0.938667,36.25,372224,0.1385077089071273
colorectal_hist,resnet18,norm_relu,Normbn,False,0,0.885333,5.32,11180616,0.502745509147644
colorectal_hist,resnet18,norm_relu,Normbn,False,1,0.898667,5.05,11180616,0.4704345166683197
colorectal_hist,resnet18,norm_relu,Normbn,False,2,0.88,4.18,11180616,0.4674649834632873
colorectal_hist,resnet18,norm_relu,Normbn,False,3,0.890667,4.13,11180616,0.3678205907344818
colorectal_hist,resnet18,norm_relu,Normbn,False,4,0.826667,4.12,11180616,0.245990514755249
colorectal_hist,resnet18,norm_relu,Normbn,True,0,0.962667,4.82,11180616,0.3127683401107788
colorectal_hist,resnet18,norm_relu,Normbn,True,1,0.968,6.73,11180616,0.2781972289085388
