dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
colorectal_hist,equivariant,normbn_relu,Normbn,False,0,0.893333,39.15,372224,0.2062834650278091
colorectal_hist,equivariant,normbn_relu,Normbn,False,1,0.861333,36.0,372224,0.1944258511066436
colorectal_hist,equivariant,normbn_relu,Normbn,False,2,0.864,38.98,372224,0.188055545091629
colorectal_hist,equivariant,normbn_relu,Normbn,False,3,0.88,36.12,372224,0.1837402135133743
colorectal_hist,equivariant,normbn_relu,Normbn,False,4,0.882667,38.82,372224,0.1683051288127899
colorectal_hist,equivariant,normbn_relu,Normbn,True,0,0.909333,36.47,372224,0.1539908349514007
colorectal_hist,equivariant,normbn_relu,Normbn,True,1,0.92,40.6,372224,0.164431482553482
colorectal_hist,equivariant,normbn_relu,Normbn,True,2,0.925333,36.68,372224,0.1607813835144043
colorectal_hist,equivariant,normbn_relu,Normbn,True,3,0.914667,38.78,372224,0.1515018194913864
colorectal_hist,equivariant,normbn_relu,Normbn,True,4,0.912,36.17,372224,0.160220056772232
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,0,0.914667,39.15,372224,0.1689403057098388
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,1,0.904,36.38,372224,0.1750896871089935
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,2,0.877333,36.53,372224,0.1683386415243148
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,3,0.893333,39.13,372224,0.1778118014335632
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,4,0.874667,37.95,372224,0.1640448570251464
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,0,0.92,36.58,372224,0.1479839980602264
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,1,0.928,38.98,372224,0.1454320102930069
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,2,0.925333,36.33,372224,0.1449238955974578
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,3,0.904,39.07,372224,0.1456986963748932
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,4,0.938667,36.25,372224,0.1315929293632507
colorectal_hist,resnet18,norm_relu,Normbn,False,0,0.885333,5.32,11180616,0.502745509147644
colorectal_hist,resnet18,norm_relu,Normbn,False,1,0.898667,5.05,11180616,0.4704345166683197
colorectal_hist,resnet18,norm_relu,Normbn,False,2,0.88,4.18,11180616,0.4674649834632873
colorectal_hist,resnet18,norm_relu,Normbn,False,3,0.890667,4.13,11180616,0.3678205907344818
colorectal_hist,resnet18,norm_relu,Normbn,False,4,0.826667,4.12,11180616,0.245990514755249
colorectal_hist,resnet18,norm_relu,Normbn,True,0,0.962667,4.82,11180616,0.3127683401107788
colorectal_hist,resnet18,norm_relu,Normbn,True,1,0.968,6.73,11180616,0.2781972289085388
colorectal_hist,resnet18,norm_relu,Normbn,True,2,0.968,4.52,11180616,0.2844341695308685
colorectal_hist,resnet18,norm_relu,Normbn,True,3,0.970667,4.53,11180616,0.2669552564620971
colorectal_hist,resnet18,norm_relu,Normbn,True,4,0.970667,4.52,11180616,0.2731673419475555
eurosat,equivariant,fourier_relu_16,Normbn,False,0,0.96,98.98,1243162,0.0719509497284889
eurosat,equivariant,fourier_relu_16,Normbn,False,1,0.972963,89.53,1243162,0.07204270362854
