checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_eurosat_seed0_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,0,norm_relu,Normbn,False,0.11542776226997375
equivariant_eurosat_seed1_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,1,norm_relu,Normbn,True,0.10087491571903229
equivariant_eurosat_seed1_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,1,norm_relu,Normbn,False,0.11399153620004654
equivariant_eurosat_seed2_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,2,norm_relu,Normbn,True,0.10143095999956131
equivariant_eurosat_seed2_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,2,norm_relu,Normbn,False,0.11298485845327377
equivariant_eurosat_seed3_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,3,norm_relu,Normbn,True,0.10142271965742111
equivariant_eurosat_seed3_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,3,norm_relu,Normbn,False,0.11469975113868713
equivariant_eurosat_seed4_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,4,norm_relu,Normbn,True,0.10051218420267105
equivariant_eurosat_seed4_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,4,norm_relu,Normbn,False,0.1100967675447464
equivariant_eurosat_seed0_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,0,normbn_relu,Normbn,True,0.11816966533660889
equivariant_eurosat_seed0_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,0,normbn_relu,Normbn,False,0.13150066137313843
equivariant_eurosat_seed1_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,1,normbn_relu,Normbn,True,0.11914897710084915
equivariant_eurosat_seed1_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,1,normbn_relu,Normbn,False,0.14084401726722717
equivariant_eurosat_seed2_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,2,normbn_relu,Normbn,True,0.12221380323171616
equivariant_eurosat_seed2_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,2,normbn_relu,Normbn,False,0.13746164739131927
equivariant_eurosat_seed3_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,3,normbn_relu,Normbn,True,0.11973347514867783
equivariant_eurosat_seed3_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,3,normbn_relu,Normbn,False,0.14383162558078766
equivariant_eurosat_seed4_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,4,normbn_relu,Normbn,True,0.11984828114509583
equivariant_eurosat_seed4_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,4,normbn_relu,Normbn,False,0.12967103719711304
equivariant_eurosat_seed0_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,0,normbnvec_relu,Normbn,True,0.11741245537996292
equivariant_eurosat_seed0_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,0,normbnvec_relu,Normbn,False,0.12777778506278992
equivariant_eurosat_seed1_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,1,normbnvec_relu,Normbn,True,0.11614785343408585
equivariant_eurosat_seed1_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,1,normbnvec_relu,Normbn,False,0.12343969941139221
equivariant_eurosat_seed2_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,2,normbnvec_relu,Normbn,True,0.11902424693107605
equivariant_eurosat_seed2_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,2,normbnvec_relu,Normbn,False,0.13111509382724762
equivariant_eurosat_seed3_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,3,normbnvec_relu,Normbn,True,0.11750789731740952
equivariant_eurosat_seed3_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,3,normbnvec_relu,Normbn,False,0.13210409879684448
equivariant_eurosat_seed4_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,4,normbnvec_relu,Normbn,True,0.11641614139080048
equivariant_eurosat_seed4_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,4,normbnvec_relu,Normbn,False,0.12165039032697678
