checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_16,Normbn,False,0.1063217967748642
equivariant_mnist_rot_seed0_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_32,Normbn,True,0.11937986314296722
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_32,Normbn,False,0.10726298391819
equivariant_mnist_rot_seed1_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_32,Normbn,True,0.1188754290342331
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_32,Normbn,False,0.11734567582607269
equivariant_mnist_rot_seed2_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_32,Normbn,True,0.11785054951906204
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_32,Normbn,False,0.10960721969604492
equivariant_mnist_rot_seed3_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_32,Normbn,True,0.11311309784650803
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_32,Normbn,False,0.10621920228004456
equivariant_mnist_rot_seed4_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_32,Normbn,True,0.11360322684049606
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_32,Normbn,False,0.11089274287223816
equivariant_mnist_rot_seed0_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_64,Normbn,True,0.11159259080886841
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_64,Normbn,False,0.10643793642520905
equivariant_mnist_rot_seed1_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_64,Normbn,True,0.11853848397731781
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_64,Normbn,False,0.10891593247652054
equivariant_mnist_rot_seed2_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_64,Normbn,True,0.10891922563314438
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_64,Normbn,False,0.11093904078006744
equivariant_mnist_rot_seed3_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_64,Normbn,True,0.1104242205619812
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_64,Normbn,False,0.10622505098581314
equivariant_mnist_rot_seed4_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_64,Normbn,True,0.11450102180242538
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_64,Normbn,False,0.10378552973270416
equivariant_mnist_rot_seed0_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_shared_sigmoid,Normbn,True,0.12165938317775726
equivariant_mnist_rot_seed0_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_shared_sigmoid,Normbn,False,0.1240912601351738
equivariant_mnist_rot_seed1_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_shared_sigmoid,Normbn,True,0.11651521176099777
equivariant_mnist_rot_seed1_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_shared_sigmoid,Normbn,False,0.11626070737838745
equivariant_mnist_rot_seed2_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_shared_sigmoid,Normbn,True,0.12129756808280945
equivariant_mnist_rot_seed2_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_shared_sigmoid,Normbn,False,0.12218707799911499
equivariant_mnist_rot_seed3_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_shared_sigmoid,Normbn,True,0.12420297414064407
equivariant_mnist_rot_seed3_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_shared_sigmoid,Normbn,False,0.10892129689455032
equivariant_mnist_rot_seed4_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_shared_sigmoid,Normbn,True,0.13513754308223724
equivariant_mnist_rot_seed4_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_shared_sigmoid,Normbn,False,0.12910515069961548
equivariant_mnist_rot_seed0_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_sigmoid,Normbn,True,0.1381296068429947
equivariant_mnist_rot_seed0_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_sigmoid,Normbn,False,0.1449163258075714
equivariant_mnist_rot_seed1_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_sigmoid,Normbn,True,0.13937875628471375
equivariant_mnist_rot_seed1_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_sigmoid,Normbn,False,0.13619175553321838
equivariant_mnist_rot_seed2_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_sigmoid,Normbn,True,0.1334528625011444
equivariant_mnist_rot_seed2_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_sigmoid,Normbn,False,0.13505014777183533
equivariant_mnist_rot_seed3_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_sigmoid,Normbn,True,0.14119267463684082
equivariant_mnist_rot_seed3_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_sigmoid,Normbn,False,0.1358812153339386
equivariant_mnist_rot_seed4_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_sigmoid,Normbn,True,0.1255875676870346
equivariant_mnist_rot_seed4_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_sigmoid,Normbn,False,0.13376997411251068
equivariant_mnist_rot_seed0_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,0,norm_relu,Normbn,True,0.17695337533950806
equivariant_mnist_rot_seed0_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,0,norm_relu,Normbn,False,0.16488045454025269
equivariant_mnist_rot_seed1_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,1,norm_relu,Normbn,True,0.17251621186733246
equivariant_mnist_rot_seed1_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,1,norm_relu,Normbn,False,0.16929900646209717
equivariant_mnist_rot_seed2_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,2,norm_relu,Normbn,True,0.1704607903957367
equivariant_mnist_rot_seed2_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,2,norm_relu,Normbn,False,0.159628763794899
equivariant_mnist_rot_seed3_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,3,norm_relu,Normbn,True,0.16663199663162231
equivariant_mnist_rot_seed3_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,3,norm_relu,Normbn,False,0.1564723551273346
equivariant_mnist_rot_seed4_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,4,norm_relu,Normbn,True,0.17009367048740387
equivariant_mnist_rot_seed4_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,4,norm_relu,Normbn,False,0.16820666193962097
equivariant_mnist_rot_seed0_aug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,0,norm_squash,Normbn,True,0.0842389389872551
equivariant_mnist_rot_seed0_noaug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,0,norm_squash,Normbn,False,0.09131182730197906
equivariant_mnist_rot_seed1_aug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,1,norm_squash,Normbn,True,0.06724900007247925
equivariant_mnist_rot_seed1_noaug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,1,norm_squash,Normbn,False,0.06081974506378174
equivariant_mnist_rot_seed2_aug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,2,norm_squash,Normbn,True,0.06371938437223434
equivariant_mnist_rot_seed2_noaug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,2,norm_squash,Normbn,False,0.05646293982863426
equivariant_mnist_rot_seed3_aug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,3,norm_squash,Normbn,True,0.06550519168376923
equivariant_mnist_rot_seed3_noaug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,3,norm_squash,Normbn,False,0.08709105849266052
equivariant_mnist_rot_seed4_aug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,4,norm_squash,Normbn,True,0.05448643118143082
equivariant_mnist_rot_seed4_noaug_norm_squash_Normbn.ckpt,equivariant,mnist_rot,4,norm_squash,Normbn,False,0.07042886316776276
equivariant_mnist_rot_seed0_aug_normbn_elu_Normbn.ckpt,equivariant,mnist_rot,0,normbn_elu,Normbn,True,0.19675883650779724
equivariant_mnist_rot_seed0_noaug_normbn_elu_Normbn.ckpt,equivariant,mnist_rot,0,normbn_elu,Normbn,False,0.19855618476867676
